Name SMILES logPalk ClogPalk logPcorr MSA/Ang**2 solvent ref
TrainData_216 CCCCCCN 0.76 0.848 4.230 158.452 hxd jpharmsci.1994.1085
TrainData_217 CCCCCCN(=O)=O 1.99 2.301 3.210 171.195 alk jpharmsci.1994.1085
TrainData_218 CCCCCCN1C(=O)C=CC1=O 2.62 2.421 4.579 214.991 chx canjchem.1966.44.1035
TrainData_219 CCCCCCNC(=S)NC -0.94 -0.702 7.800 217.896 alk perkin2.1992.723
TrainData_220 CCCCCCO 0.38 0.460 4.480 154.413 hxd jpharmsci.1994.1085
TrainData_220 CCCCCCO 0.45 0.460 4.480 154.413 cyc jpharmsci.1994.1085
TrainData_220 CCCCCCO 0.48 0.460 4.480 154.413 alk jpharmsci.1994.1085
TrainData_221 CCCCCCOC(=O)C 2.69 2.851 3.520 196.487 hxd jpharmsci.1994.1085
TrainData_222 CCCCCCc1ccccc1 5.69 5.875 1.281 219.576 hxd jpharmsci.1994.1085
TrainData_223 CCCCCCl 3.17 3.172 1.260 139.459 hxd jpharmsci.1994.1085
TrainData_224 CCCCCCn1ccc(=O)c(c1C)O -1.000 -0.410 8.435 245.149 cyc biochem.pharm.1999.1305
TrainData_225 CCCCCI 4.03 3.972 0.860 151.222 hxd jpharmsci.1994.1085
TrainData_226 CCCCCN 0.14 0.200 4.230 139.421 hxd jpharmsci.1994.1085
TrainData_227 CCCCCN(=O)=O 1.47 1.668 3.210 152.583 alk jpharmsci.1994.1085
TrainData_227 CCCCCN(=O)=O 1.87 1.668 3.210 152.583 hxd jpharmsci.1994.1085
TrainData_228 CCCCCO -0.24 -0.179 4.480 135.604 hxd jpharmsci.1994.1085
TrainData_228 CCCCCO -0.26 -0.179 4.480 135.604 cyc jpharmsci.1994.1085
TrainData_228 CCCCCO -0.28 -0.179 4.480 135.604 alk jpharmsci.1994.1085
TrainData_229 CCCCCOC(=O)C 2.00 2.208 3.520 177.596 hxd jpharmsci.1994.1085
TrainData_229 CCCCCOC(=O)C 2.19 2.208 3.520 177.596 alk jpharmsci.1994.1085
TrainData_229 CCCCCOC(=O)C 2.39 2.208 3.520 177.596 cyc jpharmsci.1994.1085
TrainData_230 CCCCCOC(=O)CC 2.78 2.838 3.520 196.111 hxd jpharmsci.1994.1085
TrainData_231 CCCCCc1ccccc1 5.06 5.225 1.281 200.453 hxd jpharmsci.1994.1085
TrainData_232 CCCCCl 2.60 2.577 1.260 121.965 hxd jpharmsci.1994.1085
TrainData_233 CCCCCn1ccc(=O)c(c1C)O -1.432 -1.064 8.435 225.927 cyc biochem.pharm.1999.1305
TrainData_234 CCCCI 3.45 3.322 0.860 132.119 hxd jpharmsci.1994.1085
TrainData_235 CCCCN -0.29 -0.449 4.230 120.329 cyc jpharmsci.1994.1085
TrainData_235 CCCCN -0.49 -0.449 4.230 120.329 hxd jpharmsci.1994.1085
TrainData_235 CCCCN -0.57 -0.449 4.230 120.329 alk jpharmsci.1994.1085
TrainData_236 CCCCN(=O)=O 1.08 1.010 3.210 133.227 alk jpharmsci.1994.1085
TrainData_236 CCCCN(=O)=O 1.15 1.010 3.210 133.227 hxd jpharmsci.1994.1085
TrainData_237 CCCCNC(=O)C -1.90 -1.898 6.990 158.879 cyc jpharmsci.1994.1085
TrainData_238 CCCCNCCCC 1.97 2.223 4.170 197.146 hxd jpharmsci.1994.1085
TrainData_239 CCCCNc1c2c([nH]cn2)ncn1 -2.99 -2.805 9.688 211.565 chx jmb1998.280.421
TrainData_240 CCCCNc1c2c(ncn1)n(cn2)CCCC 1.00 0.814 8.598 285.954 chx jmb1998.280.421
TrainData_241 CCCCNc1ccn(c(=O)n1)CCCC 0.70 0.724 8.103 268.723 chx jmb1998.280.421
TrainData_242 CCCCO -0.82 -0.826 4.480 116.569 alk jpharmsci.1994.1085
TrainData_242 CCCCO -0.86 -0.826 4.480 116.569 hxd jpharmsci.1994.1085
TrainData_242 CCCCO -0.87 -0.826 4.480 116.569 cyc jpharmsci.1994.1085
TrainData_243 CCCCOC(=O)C 1.41 1.561 3.520 158.564 hxd jpharmsci.1994.1085
TrainData_243 CCCCOC(=O)C 1.67 1.561 3.520 158.564 alk jpharmsci.1994.1085
TrainData_243 CCCCOC(=O)C 1.75 1.561 3.520 158.564 cyc jpharmsci.1994.1085
TrainData_244 CCCCOCCCC 3.31 3.371 2.960 195.315 hxd jpharmsci.1994.1085
TrainData_245 CCCCOP(=O)(OCCCC)OCCCC 2.74 3.451 7.000 316.501 alk jpharmsci.1994.1085
TrainData_245 CCCCOP(=O)(OCCCC)OCCCC 2.90 3.451 7.000 316.501 cyc jpharmsci.1994.1085
TrainData_246 CCCCS 2.38 2.495 1.470 125.733 hxd jpharmsci.1994.1085
TrainData_247 CCCCc1ccc(cc1)O 1.48 1.661 4.501 190.338 cyc jpharmsci.1994.1085
TrainData_248 CCCCc1ccccc1 4.44 4.588 1.281 181.709 hxd jpharmsci.1994.1085
TrainData_249 CCCCc1ccncc1 1.30 1.960 3.728 176.398 alk jpharmsci.1994.1085
TrainData_249 CCCCc1ccncc1 1.30 1.960 3.728 176.398 hxd jpharmsci.1994.1085
TrainData_250 CCCCl 1.96 1.885 1.260 101.596 hxd jpharmsci.1994.1085
TrainData_251 CCCCn1c(=O)cc[nH]c1=O -2.68 -2.713 8.750 186.681 chx jmb1998.280.421
TrainData_252 CCCCn1cc(c(=O)[nH]c1=O)C -1.35 -2.049 8.750 206.201 chx jmb1998.280.421
TrainData_252 CCCCn1cc(c(=O)[nH]c1=O)C -1.60 -2.049 8.750 206.201 chx jmb1998.280.421
TrainData_253 CCCCn1ccc(=O)[nH]c1=O -2.68 -2.653 8.750 188.448 chx jmb1998.280.421
TrainData_254 CCCCn1ccc(=O)c(c1C)O -1.602 -1.704 8.435 207.115 cyc biochem.pharm.1999.1305
TrainData_255 CCCCn1ccc(=O)c(c1CC)O -1.260 -1.284 8.435 219.452 cyc biochem.pharm.1999.1305
TrainData_256 CCCCn1cnc2c1c(=O)n(cn2)CCCC -0.59 -0.626 9.625 273.815 chx jmb1998.280.421
TrainData_257 CCCCn1cnc2c1c(=O)ncn2CCCC -2.20 -0.596 9.485 270.571 chx jmb1998.280.421
TrainData_258 CCCCn1cnc2c1cncn2 -2.60 -2.480 8.798 194.935 chx jmb1998.280.421
TrainData_259 CCCCn1cnc2c1ncn(c2=O)CCCC -1.21 -1.266 10.425 278.509 chx jmb1998.280.421
TrainData_260 CCCCn1cnc2c1ncnc2 -0.77 -1.838 8.198 196.169 chx jmb1998.280.421
TrainData_261 CCCCn1cncc-2ncnc12 -1.96 -1.962 8.278 194.872 chx jmb1998.280.421
TrainData_262 CCCI 2.74 2.682 0.860 113.284 hxd jpharmsci.1994.1085
TrainData_263 CCCN -0.98 -1.086 4.230 101.575 alk jpharmsci.1994.1085
TrainData_263 CCCN -0.98 -1.086 4.230 101.575 cyc jpharmsci.1994.1085
TrainData_263 CCCN -1.08 -1.086 4.230 101.575 hxd jpharmsci.1994.1085
TrainData_264 CCCN(=O)=O 0.44 0.368 3.210 114.335 hxd jpharmsci.1994.1085
TrainData_264 CCCN(=O)=O 0.45 0.368 3.210 114.335 alk jpharmsci.1994.1085
TrainData_264 CCCN(=O)=O 0.53 0.368 3.210 114.335 cyc jpharmsci.1994.1085
TrainData_265 CCCN=C(N)N -4.32 -4.291 8.700 138.783 chx biochem.1988.27.1644
TrainData_266 CCCNCCC 0.69 0.946 4.170 159.578 hxd jpharmsci.1994.1085
TrainData_267 CCCO -1.39 -1.469 4.480 97.677 alk jpharmsci.1994.1085
TrainData_267 CCCO -1.49 -1.469 4.480 97.677 cyc jpharmsci.1994.1085
TrainData_267 CCCO -1.53 -1.469 4.480 97.677 hxd jpharmsci.1994.1085
TrainData_268 CCCOC(=O)C 0.77 0.914 3.520 139.535 hxd jpharmsci.1994.1085
TrainData_268 CCCOC(=O)C 0.90 0.914 3.520 139.535 alk jpharmsci.1994.1085
TrainData_268 CCCOC(=O)C 1.10 0.914 3.520 139.535 cyc jpharmsci.1994.1085
TrainData_269 CCCOC(=O)CC 1.55 1.547 3.520 158.137 hxd jpharmsci.1994.1085
TrainData_270 CCCOC=O 0.61 0.664 3.100 119.804 hxd jpharmsci.1994.1085
TrainData_271 CCCOCCC 2.10 2.064 2.960 156.879 hxd jpharmsci.1994.1085
TrainData_272 CCCOP(=O)(OCCC)OCCC 0.91 1.515 7.000 259.579 alk jpharmsci.1994.1085
TrainData_272 CCCOP(=O)(OCCC)OCCC 1.18 1.515 7.000 259.579 cyc jpharmsci.1994.1085
TrainData_273 CCCS 1.52 1.887 1.470 107.836 cyc jpharmsci.1994.1085
TrainData_273 CCCS 1.91 1.887 1.470 107.836 hxd jpharmsci.1994.1085
TrainData_274 CCCSCCC 3.18 3.473 1.850 165.672 hxd jpharmsci.1994.1085
TrainData_275 CCCc1ccc(cc1)O 0.86 1.015 4.501 171.325 alk jpharmsci.1994.1085
TrainData_275 CCCc1ccc(cc1)O 1.03 1.015 4.501 171.325 cyc jpharmsci.1994.1085
TrainData_276 CCCc1cccc(c1)O 0.83 1.012 4.501 171.255 cyc jpharmsci.1994.1085
TrainData_277 CCCc1ccccc1 3.84 3.944 1.281 162.773 hxd jpharmsci.1994.1085
TrainData_277 CCCc1ccccc1 4.11 3.944 1.281 162.773 alk jpharmsci.1994.1085
TrainData_278 CCCc1ccccc1O 1.18 0.961 4.501 169.758 cyc jpharmsci.1994.1085
TrainData_279 CCCl 1.22 1.281 1.260 83.843 hxd jpharmsci.1994.1085
TrainData_280 CCCn1ccc(=O)c(c1C)O -1.959 -2.461 8.435 184.820 cyc biochem.pharm.1999.1305
TrainData_281 CCCn1ccc(=O)c(c1CC)O -1.357 -1.796 8.435 204.382 cyc biochem.pharm.1999.1305
TrainData_282 CCI 2.03 2.028 0.860 94.045 hxd jpharmsci.1994.1085
TrainData_283 CCN -1.62 -1.737 4.230 82.418 hxd jpharmsci.1994.1085
TrainData_283 CCN -1.78 -1.737 4.230 82.418 alk jpharmsci.1994.1085
TrainData_283 CCN -1.80 -1.737 4.230 82.418 cyc jpharmsci.1994.1085
TrainData_284 CCN(=O)=O -0.31 -0.282 3.210 95.221 hxd jpharmsci.1994.1085
TrainData_284 CCN(=O)=O -0.32 -0.282 3.210 95.221 alk jpharmsci.1994.1085
TrainData_285 CCN(CC)CC 0.72 1.069 3.810 152.609 hxd jpharmsci.1994.1085
TrainData_285 CCN(CC)CC 0.91 1.069 3.810 152.609 alk jpharmsci.1994.1085
TrainData_285 CCN(CC)CC 1.10 1.069 3.810 152.609 cyc jpharmsci.1994.1085
TrainData_286 CCN1C(=O)C=CC1=O -0.04 -0.152 4.579 139.319 chx canjchem.1966.44.1035
TrainData_287 CCN1c2ccccc2CC1=O 0.49 0.153 5.651 179.802 hxd jmedchem.2008.3720
TrainData_288 CCNC(=O)c1ccccc1 -1.1 -1.116 6.851 177.768 alk perkin2.1992.723
TrainData_289 CCNCC -0.34 -0.349 4.170 121.499 cyc jpharmsci.1994.1085
TrainData_289 CCNCC -0.35 -0.349 4.170 121.499 alk jpharmsci.1994.1085
TrainData_289 CCNCC -0.60 -0.349 4.170 121.499 hxd jpharmsci.1994.1085
TrainData_290 CCO -1.89 -2.141 4.480 77.911 cyc jpharmsci.1994.1085
TrainData_290 CCO -2.08 -2.141 4.480 77.911 alk jpharmsci.1994.1085
TrainData_290 CCO -2.19 -2.141 4.480 77.911 hxd jpharmsci.1994.1085
TrainData_291 CCOC(=O)C 0.15 0.266 3.520 120.463 hxd jpharmsci.1994.1085
TrainData_291 CCOC(=O)C 0.34 0.266 3.520 120.463 alk perkin2.1992.723
TrainData_291 CCOC(=O)C 0.34 0.266 3.520 120.463 cyc jpharmsci.1994.1085
TrainData_292 CCOC(=O)Cc1ccccc1 2.17 1.541 4.801 195.635 alk perkin2.1992.723
TrainData_292 CCOC(=O)Cc1ccccc1 2.40 1.541 4.801 195.635 cyc jpharmsci.1994.1085
TrainData_293 CCOC(=O)c1ccccc1 2.38 2.379 3.291 175.867 alk perkin2.1992.723
TrainData_294 CCOC=O -0.04 0.015 3.100 100.726 hxd jpharmsci.1994.1085
TrainData_295 CCOCC 0.62 0.764 2.960 118.628 alk perkin2.1992.723
TrainData_295 CCOCC 0.66 0.764 2.960 118.628 cyc jpharmsci.1994.1085
TrainData_295 CCOCC 0.85 0.764 2.960 118.628 hxd jpharmsci.1994.1085
TrainData_296 CCOCCO -2.03 -2.072 6.140 128.755 hxd jpharmsci.1994.1085
TrainData_296 CCOCCO -2.10 -2.072 6.140 128.755 alk jpharmsci.1994.1085
TrainData_297 CCOP(=O)(OCC)OCC -0.14 -0.357 7.000 204.507 cyc jpharmsci.1994.1085
TrainData_297 CCOP(=O)(OCC)OCC -0.78 -0.357 7.000 204.507 alk jpharmsci.1994.1085
TrainData_298 CCOc1ccccc1 2.61 2.722 2.221 154.482 hxd jpharmsci.1994.1085
TrainData_298 CCOc1ccccc1 2.77 2.722 2.221 154.482 cyc jpharmsci.1994.1085
TrainData_299 CCS 1.33 1.225 1.470 88.366 hxd jpharmsci.1994.1085
TrainData_300 CCSC 1.73 1.522 1.850 108.283 cyc jpharmsci.1994.1085
TrainData_301 CCSCC 2.03 2.188 1.850 127.877 hxd jpharmsci.1994.1085
TrainData_302 CCSSCC 3.01 3.273 1.440 147.728 hxd jpharmsci.1994.1085
TrainData_303 CCc1c(c(=O)ccn1C(C)C)O -1.409 -1.926 8.435 200.580 cyc biochem.pharm.1999.1305
TrainData_304 CCc1c(c(=O)ccn1C)O -2.155 -2.979 8.435 169.585 cyc biochem.pharm.1999.1305
TrainData_305 CCc1c(c(=O)ccn1CC)O -1.854 -2.422 8.435 185.982 cyc biochem.pharm.1999.1305
TrainData_306 CCc1ccc(cc1)C 3.59 3.924 1.281 162.183 hxd jpharmsci.1994.1085
TrainData_307 CCc1ccc(cc1)C(=O)O 0.63 0.522 5.031 172.425 alk jpharmsci.1994.1085
TrainData_308 CCc1ccc(cc1)O 0.24 0.370 4.501 152.364 alk jpharmsci.1994.1085
TrainData_308 CCc1ccc(cc1)O 0.37 0.370 4.501 152.364 cyc jpharmsci.1994.1085
TrainData_309 CCc1cccc(c1)O 0.15 0.375 4.501 152.508 alk jpharmsci.1994.1085
TrainData_310 CCc1cccc2c1cccc2 4.38 4.427 1.491 183.175 hxd jpharmsci.1994.1085
TrainData_311 CCc1ccccc1 3.20 3.292 1.281 143.612 hxd jpharmsci.1994.1085
TrainData_311 CCc1ccccc1 3.3 3.292 1.281 143.612 alk perkin2.1992.723
TrainData_312 CCc1ccccc1C 3.59 3.788 1.281 158.195 hxd jpharmsci.1994.1085
TrainData_313 CCc1ccccc1O 0.36 0.317 4.501 150.810 cyc jpharmsci.1994.1085
TrainData_314 CCc1ccccn1 0.67 0.706 3.728 139.531 hxd jpharmsci.1994.1085
TrainData_315 CCc1cccnc1 0.72 0.674 3.728 138.570 hxd jpharmsci.1994.1085
TrainData_316 CCc1ccncc1 0.73 0.678 3.728 138.687 alk jpharmsci.1994.1085
TrainData_316 CCc1ccncc1 0.74 0.678 3.728 138.687 hxd jpharmsci.1994.1085
TrainData_317 CCl 0.76 0.610 1.260 64.092 hxd jpharmsci.1994.1085
TrainData_318 CCn1c(cc(=O)c2c1cc(cc2)Cl)C -1.40 -1.412 8.450 216.119 hxd jmedchem.2008.3720
TrainData_319 CCn1ccc(=O)c(c1C)O -2.155 -2.969 8.435 169.905 cyc biochem.pharm.1999.1305
TrainData_320 CI 1.46 1.377 0.860 74.900 hxd jpharmsci.1994.1085
TrainData_321 CN -2.04 -2.407 4.230 62.732 hxd jpharmsci.1994.1085
TrainData_322 CN(=O)=O -0.93 -0.929 3.210 76.203 cyc jpharmsci.1994.1085
TrainData_322 CN(=O)=O -0.98 -0.929 3.210 76.203 alk jpharmsci.1994.1085
TrainData_322 CN(=O)=O -1.06 -0.929 3.210 76.203 hxd jpharmsci.1994.1085
TrainData_323 CN(C)C -0.44 -0.734 3.810 99.574 cyc jpharmsci.1994.1085
TrainData_323 CN(C)C -0.48 -0.734 3.810 99.574 alk jpharmsci.1994.1085
TrainData_323 CN(C)C -0.73 -0.734 3.810 99.574 hxd jpharmsci.1994.1085
TrainData_324 CN(C)C(=O)N(C)c1ccccc1 0.16 -0.303 6.781 199.632 hxd jmedchem.2008.3720
TrainData_325 CN(C)C(=O)c1ccccc1 -0.98 -0.834 6.471 174.886 hxd jmedchem.2008.3720
TrainData_326 CN(C)C=O -2.35 -2.305 5.500 103.083 hxd jpharmsci.1994.1085
TrainData_326 CN(C)C=O -2.71 -2.305 5.500 103.083 cyc jpharmsci.1994.1085
TrainData_327 CN(C)CCCc1ccccc1 2.03 1.681 5.091 208.288 alk perkin2.1992.723
TrainData_328 CN(C)CCc1ccccc1 1.39 1.118 5.091 191.711 alk perkin2.1992.723
TrainData_329 CN(C)Cc1ccccc1 1.38 1.383 4.191 173.034 alk jpharmsci.1994.1085
TrainData_330 CN(C)c1ccccc1 2.17 2.309 2.621 154.099 hxd jpharmsci.1994.1085
TrainData_330 CN(C)c1ccccc1 2.28 2.309 2.621 154.099 alk perkin2.1992.723
TrainData_330 CN(C)c1ccccc1 2.47 2.309 2.621 154.099 cyc jpharmsci.1994.1085
TrainData_331 CN1C(=O)C=CC1=O -0.82 -0.751 4.579 121.698 chx canjchem.1966.44.1035
TrainData_332 CN1C(=O)c2ccccc2C1=O -0.15 0.039 5.281 165.569 hxd jmedchem.2008.3720
TrainData_333 CN1CCCCC1 0.48 0.528 3.810 136.714 hxd jpharmsci.1994.1085
TrainData_334 CN1Cc2ccccc2C1=O -1.07 -1.206 6.471 163.949 hxd jmedchem.2008.3720
TrainData_335 CN1c2ccccc2CC1=O 0.00 -0.420 5.651 162.961 hxd jmedchem.2008.3720
TrainData_336 CNC -1.55 -1.681 4.170 82.302 hxd jpharmsci.1994.1085
TrainData_337 CNC(=O)c1ccccc1 -1.76 -1.748 6.851 159.186 alk perkin2.1992.723
TrainData_338 CNC(=S)NCC(C(C(F)(F)F)(F)F)(F)F -1.17 -1.034 7.800 208.113 alk perkin2.1992.723
TrainData_339 CNC(=S)NCc1ccccc1 -2.13 -2.509 9.081 202.397 alk perkin2.1992.723
TrainData_340 CNc1ccccc1 1.04 1.113 3.281 138.350 alk perkin2.1992.723
TrainData_340 CNc1ccccc1 1.18 1.113 3.281 138.350 cyc jpharmsci.1994.1085
TrainData_341 CO -2.49 -2.813 4.480 58.142 cyc jpharmsci.1994.1085
TrainData_341 CO -2.77 -2.813 4.480 58.142 hxd jpharmsci.1994.1085
TrainData_341 CO -2.80 -2.813 4.480 58.142 alk jpharmsci.1994.1085
TrainData_342 COC -0.30 -0.603 2.960 78.426 hxd perkin2.1990.291
TrainData_343 COC(=O)CCc1ccccc1 2.09 1.475 4.801 193.701 alk perkin2.1992.723
TrainData_344 COC(=O)c1ccccc1 1.56 1.688 3.291 155.532 hxd jpharmsci.1994.1085
TrainData_344 COC(=O)c1ccccc1 1.8 1.688 3.291 155.532 alk perkin2.1992.723
TrainData_344 COC(=O)c1ccccc1 2.08 1.688 3.291 155.532 cyc jpharmsci.1994.1085
TrainData_345 COC=O -0.76 -0.674 3.100 80.447 hxd jpharmsci.1994.1085
TrainData_346 COP(=O)(OC)OC -2.20 -2.371 7.000 145.264 alk jpharmsci.1994.1085
TrainData_346 COP(=O)(OC)OC -2.22 -2.371 7.000 145.264 cyc jpharmsci.1994.1085
TrainData_347 COc1ccccc1 1.90 2.042 2.221 134.484 hxd jmedchem.2008.3720
TrainData_347 COc1ccccc1 2.06 2.042 2.221 134.484 alk perkin2.1992.723
TrainData_347 COc1ccccc1 2.09 2.042 2.221 134.484 hxd jpharmsci.1994.1085
TrainData_347 COc1ccccc1 2.19 2.042 2.221 134.484 cyc jpharmsci.1994.1085
TrainData_348 COc1ccccc1O 0.36 0.401 4.141 142.691 alk jpharmsci.1994.1085
TrainData_348 COc1ccccc1O 0.47 0.401 4.141 142.691 cyc jpharmsci.1994.1085
TrainData_349 CS 0.93 0.574 1.470 69.235 cyc jpharmsci.1994.1085
TrainData_350 CS(=O)(=O)CCCOc1ccc(cc1)N(=O)=O -1.95 -1.682 9.931 251.718 alk perkin2.1992.723
TrainData_351 CS(=O)(=O)c1ccccc1 -0.59 -0.789 5.881 158.875 cyc jpharmsci.1994.1085
TrainData_351 CS(=O)(=O)c1ccccc1 -0.92 -0.789 5.881 158.875 alk perkin2.1992.723
TrainData_351 CS(=O)(=O)c1ccccc1 -0.92 -0.789 5.881 158.875 hxd jpharmsci.1994.1085
TrainData_352 CS(=O)C -3.97 -3.968 6.950 96.829 hxd jpharmsci.1994.1085
TrainData_353 CS(=O)CCCOc1ccc(cc1)N(=O)=O -2.53 -2.457 10.481 245.101 alk perkin2.1992.723
TrainData_354 CS(=O)c1ccccc1 -1.29 -1.501 6.371 152.323 cyc jpharmsci.1994.1085
TrainData_354 CS(=O)c1ccccc1 -1.49 -1.501 6.371 152.323 alk perkin2.1992.723
TrainData_354 CS(=O)c1ccccc1 -1.49 -1.501 6.371 152.323 hxd jpharmsci.1994.1085
TrainData_355 CSC 1.61 0.857 1.850 88.720 hxd perkin2.1990.291
TrainData_356 CSCCCOc1ccc(cc1)N(=O)=O 2.26 2.323 5.381 235.702 alk perkin2.1992.723
TrainData_357 CSSC 2.20 1.941 1.440 108.537 hxd perkin2.1990.291
TrainData_358 CSc1ccccc1 2.66 2.657 1.961 144.910 hxd jpharmsci.1994.1085
TrainData_359 C[C@@H]([C@@H](c1ccccc1)O)NC -0.390 -0.451 6.731 193.817 alk eurjmedchem.1974.473
TrainData_359 C[C@@H]([C@@H](c1ccccc1)O)NC -0.440 -0.451 6.731 193.817 chx p2.2002.470
TrainData_360 C[C@@H]1CCCC[C@@H]1C 4.96 4.845 0.000 151.606 hxd jpharmsci.1994.1085
TrainData_361 C[C@H]1CC[C@@H](CC1)C 5.09 5.008 0.000 156.407 hxd jpharmsci.1994.1085
TrainData_362 Cc1c([nH]c2c1cccc2)C 1.83 2.016 3.546 172.707 chx jpharmsci.1997.86.106
TrainData_363 Cc1c(c(=O)ccn1C(C)C)O -2.046 -2.431 8.435 185.719 cyc biochem.pharm.1999.1305
TrainData_364 Cc1c(c(=O)ccn1C)O -2.796 -3.542 8.435 153.048 cyc biochem.pharm.1999.1305
TrainData_365 Cc1c[nH]c2c1cccc2 1.28 1.417 3.546 155.088 chx biochem.1992.31.12816
TrainData_365 Cc1c[nH]c2c1cccc2 1.71 1.417 3.546 155.088 chx biochem.1988.27.1644
TrainData_366 Cc1c[nH]cn1 -3.34 -3.273 6.583 106.442 chx biochem.1988.27.1644
TrainData_367 Cc1cc(c(c(c1)O)C)C 0.97 0.889 4.501 167.646 cyc jpharmsci.1994.1085
TrainData_368 Cc1cc(c(cc1C)O)C 0.94 0.888 4.501 167.613 cyc jpharmsci.1994.1085
TrainData_369 Cc1cc(c2ccccc2c1)C 4.51 4.487 1.491 184.929 hxd jpharmsci.1994.1085
TrainData_370 Cc1cc(cc(c1)C)C 3.68 3.948 1.281 162.894 hxd jpharmsci.1994.1085
TrainData_371 Cc1cc(cc(c1)O)C 0.26 0.391 4.501 152.971 alk jpharmsci.1994.1085
TrainData_371 Cc1cc(cc(c1)O)C 0.38 0.391 4.501 152.971 cyc jpharmsci.1994.1085
TrainData_372 Cc1cc(cc(c1C)C)O 0.63 0.847 4.501 166.396 cyc jpharmsci.1994.1085
TrainData_373 Cc1cc(cnc1)C 0.67 0.697 3.728 139.253 hxd jpharmsci.1994.1085
TrainData_373 Cc1cc(cnc1)C 0.76 0.697 3.728 139.253 cyc jpharmsci.1994.1085
TrainData_374 Cc1cc2ccccc2cc1C 4.25 4.475 1.491 184.574 hxd jpharmsci.1994.1085
TrainData_375 Cc1ccc(c(c1)C)C 3.81 3.852 1.281 160.087 hxd jpharmsci.1994.1085
TrainData_376 Cc1ccc(c(c1)C)O 0.36 0.351 4.501 151.799 alk jpharmsci.1994.1085
TrainData_376 Cc1ccc(c(c1)C)O 0.59 0.351 4.501 151.799 cyc jpharmsci.1994.1085
TrainData_377 Cc1ccc(c(c1)O)C 0.43 0.355 4.501 151.915 alk jpharmsci.1994.1085
TrainData_377 Cc1ccc(c(c1)O)C 0.57 0.355 4.501 151.915 cyc jpharmsci.1994.1085
TrainData_378 Cc1ccc(c2c1cccc2)C 4.27 4.411 1.491 182.717 hxd jpharmsci.1994.1085
TrainData_379 Cc1ccc(cc1)Br 3.57 3.640 0.971 144.732 hxd jpharmsci.1994.1085
TrainData_380 Cc1ccc(cc1)C 3.25 3.316 1.281 144.320 hxd jpharmsci.1994.1085
TrainData_380 Cc1ccc(cc1)C 3.44 3.316 1.281 144.320 alk jpharmsci.1994.1085
TrainData_381 Cc1ccc(cc1)C(=O)C 1.63 1.766 3.471 163.137 hxd jpharmsci.1994.1085
TrainData_382 Cc1ccc(cc1)C(=O)O 0.04 -0.091 5.031 154.400 alk jpharmsci.1994.1085
TrainData_383 Cc1ccc(cc1)C=O 1.46 1.722 2.941 146.261 alk jpharmsci.1994.1085
TrainData_383 Cc1ccc(cc1)C=O 1.68 1.722 2.941 146.261 cyc jpharmsci.1994.1085
TrainData_384 Cc1ccc(cc1)N 0.39 0.535 3.871 138.682 alk jpharmsci.1994.1085
TrainData_384 Cc1ccc(cc1)N 0.56 0.535 3.871 138.682 cyc jpharmsci.1994.1085
TrainData_385 Cc1ccc(cc1)NC(=O)C -0.9 -0.866 6.601 177.786 chx intjmolsci.2005.119
TrainData_386 Cc1ccc(cc1)O -0.19 -0.242 4.501 134.369 hxd jpharmsci.1994.1085
TrainData_386 Cc1ccc(cc1)O -0.30 -0.242 4.501 134.369 alk jpharmsci.1994.1085
TrainData_386 Cc1ccc(cc1)O -0.35 -0.242 4.501 134.369 cyc jpharmsci.1994.1085
TrainData_387 Cc1ccc(cc1C)O 0.21 0.312 4.501 150.671 alk jpharmsci.1994.1085
TrainData_387 Cc1ccc(cc1C)O 0.25 0.312 4.501 150.671 cyc jpharmsci.1994.1085
TrainData_388 Cc1ccc(nc1)C 0.53 0.719 3.728 139.911 hxd jpharmsci.1994.1085
TrainData_389 Cc1ccc2c(c1)c(=O)cco2 0.56 0.531 4.926 169.619 hxd jmedchem.2008.3720
TrainData_390 Cc1ccc2c(c1)c(cc(n2=O)C)C -0.57 -0.791 7.528 207.279 hxd jmedchem.2008.3720
TrainData_391 Cc1ccc2c(c1)cc[nH]2 1.36 1.424 3.546 155.299 chx jpharmsci.1997.86.106
TrainData_392 Cc1ccc2cc(ccc2c1)C 4.30 4.570 1.491 187.378 hxd jpharmsci.1994.1085
TrainData_393 Cc1cccc(c1)C 3.23 3.314 1.281 144.239 hxd jpharmsci.1994.1085
TrainData_393 Cc1cccc(c1)C 3.24 3.314 1.281 144.239 alk jpharmsci.1994.1085
TrainData_394 Cc1cccc(c1)C(=O)C 1.72 1.771 3.471 163.286 hxd jpharmsci.1994.1085
TrainData_395 Cc1cccc(c1)C=O 1.80 1.723 2.941 146.285 cyc jpharmsci.1994.1085
TrainData_396 Cc1cccc(c1)N 0.45 0.534 3.871 138.646 alk jpharmsci.1994.1085
TrainData_396 Cc1cccc(c1)N 0.58 0.534 3.871 138.646 cyc jpharmsci.1994.1085
TrainData_397 Cc1cccc(c1)N(=O)=O 2.44 2.211 2.591 150.326 hxd perkin2.1990.291
TrainData_398 Cc1cccc(c1)NC(=O)C -0.99 -0.869 6.601 177.693 chx intjmolsci.2005.119
TrainData_399 Cc1cccc(c1)O -0.22 -0.240 4.501 134.422 alk jpharmsci.1994.1085
TrainData_399 Cc1cccc(c1)O -0.34 -0.240 4.501 134.422 cyc jpharmsci.1994.1085
